Log Number,User Number,Action Type,Time,Year,LO Number,D Number,LO Name,LOType,Blooms1,Blooms2,Description,Deliverable Name,Deliverable Type,Progress,Quarter,Deliverable Description
133,33,Insert User,2019-08-29 14:10:09,2019,,,,,,,,,,,,
136,33,Login,2019-08-29 13:10:24,2019,,,,,,,,,,,,
137,35,Insert User,2019-08-29 14:10:33,2019,,,,,,,,,,,,
139,37,Insert User,2019-08-29 14:10:37,2019,,,,,,,,,,,,
141,35,Login,2019-08-29 13:10:41,2019,,,,,,,,,,,,
144,37,Login,2019-08-29 13:10:47,2019,,,,,,,,,,,,
146,40,Insert User,2019-08-29 14:10:57,2019,,,,,,,,,,,,
149,42,Insert User,2019-08-29 14:11:01,2019,,,,,,,,,,,,
150,43,Insert User,2019-08-29 14:11:02,2019,,,,,,,,,,,,
152,40,Login,2019-08-29 13:11:09,2019,,,,,,,,,,,,
154,43,Login,2019-08-29 13:11:10,2019,,,,,,,,,,,,
155,45,Insert User,2019-08-29 14:11:12,2019,,,,,,,,,,,,
157,42,Login,2019-08-29 13:11:14,2019,,,,,,,,,,,,
158,46,Insert User,2019-08-29 14:11:15,2019,,,,,,,,,,,,
159,47,Insert User,2019-08-29 14:11:16,2019,,,,,,,,,,,,
162,45,Login,2019-08-29 13:11:24,2019,,,,,,,,,,,,
163,47,Login,2019-08-29 13:11:26,2019,,,,,,,,,,,,
164,46,Login,2019-08-29 13:11:28,2019,,,,,,,,,,,,
167,50,Insert User,2019-08-29 14:11:35,2019,,,,,,,,,,,,
168,51,Insert User,2019-08-29 14:11:35,2019,,,,,,,,,,,,
169,52,Insert User,2019-08-29 14:11:40,2019,,,,,,,,,,,,
171,54,Insert User,2019-08-29 14:11:45,2019,,,,,,,,,,,,
172,50,Login,2019-08-29 13:11:46,2019,,,,,,,,,,,,
175,52,Login,2019-08-29 13:11:52,2019,,,,,,,,,,,,
176,54,Login,2019-08-29 13:11:56,2019,,,,,,,,,,,,
177,56,Insert User,2019-08-29 14:11:59,2019,,,,,,,,,,,,
179,51,Login,2019-08-29 13:12:03,2019,,,,,,,,,,,,
181,58,Insert User,2019-08-29 14:12:24,2019,,,,,,,,,,,,
182,56,Login,2019-08-29 13:12:25,2019,,,,,,,,,,,,
183,33,Login,2019-08-29 13:12:30,2019,,,,,,,,,,,,
184,59,Insert User,2019-08-29 14:12:31,2019,,,,,,,,,,,,
186,58,Login,2019-08-29 13:12:35,2019,,,,,,,,,,,,
188,59,Login,2019-08-29 13:12:41,2019,,,,,,,,,,,,
191,50,Login,2019-08-29 13:13:00,2019,,,,,,,,,,,,
193,56,Login,2019-08-29 13:13:05,2019,,,,,,,,,,,,
195,62,Insert User,2019-08-29 14:13:37,2019,,,,,,,,,,,,
196,59,Login,2019-08-29 13:13:38,2019,,,,,,,,,,,,
197,62,Login,2019-08-29 13:13:57,2019,,,,,,,,,,,,
198,54,Login,2019-08-29 13:14:19,2019,,,,,,,,,,,,
202,40,Login,2019-08-29 13:14:48,2019,,,,,,,,,,,,
203,64,Insert User,2019-08-29 14:15:17,2019,,,,,,,,,,,,
204,64,Login,2019-08-29 13:15:26,2019,,,,,,,,,,,,
206,66,Insert User,2019-08-29 14:16:06,2019,,,,,,,,,,,,
207,67,Insert User,2019-08-29 14:16:07,2019,,,,,,,,,,,,
208,68,Insert User,2019-08-29 14:16:09,2019,,,,,,,,,,,,
210,67,Login,2019-08-29 13:16:18,2019,,,,,,,,,,,,
211,68,Login,2019-08-29 13:16:19,2019,,,,,,,,,,,,
212,66,Login,2019-08-29 13:16:20,2019,,,,,,,,,,,,
214,43,Login,2019-08-29 13:16:46,2019,,,,,,,,,,,,
215,45,Login,2019-08-29 13:16:51,2019,,,,,,,,,,,,
217,51,Login,2019-08-29 13:16:54,2019,,,,,,,,,,,,
220,46,Login,2019-08-29 13:16:55,2019,,,,,,,,,,,,
222,37,Login,2019-08-29 13:17:03,2019,,,,,,,,,,,,
228,47,Login,2019-08-29 13:18:00,2019,,,,,,,,,,,,
229,62,Login,2019-08-29 13:18:39,2019,,,,,,,,,,,,
230,58,Login,2019-08-29 13:18:59,2019,,,,,,,,,,,,
231,67,Login,2019-08-29 13:20:10,2019,,,,,,,,,,,,
234,46,Login,2019-08-29 13:22:54,2019,,,,,,,,,,,,
235,35,Login,2019-08-29 13:23:23,2019,,,,,,,,,,,,
237,42,Login,2019-08-29 13:23:23,2019,,,,,,,,,,,,
239,64,Login,2019-08-29 13:24:08,2019,,,,,,,,,,,,
240,46,Login,2019-08-29 13:24:30,2019,,,,,,,,,,,,
241,68,Login,2019-08-29 13:28:32,2019,,,,,,,,,,,,
242,43,Login,2019-08-29 14:06:50,2019,,,,,,,,,,,,
245,40,Login,2019-08-29 14:29:17,2019,,,,,,,,,,,,
246,40,Login,2019-08-29 14:30:58,2019,,,,,,,,,,,,
251,40,Logout,2019-08-29 14:59:14,2019,,,,,,,,,,,,
252,33,Login,2019-08-29 16:44:02,2019,,,,,,,,,,,,
253,51,Login,2019-08-29 17:21:38,2019,,,,,,,,,,,,
254,51,Login,2019-08-29 17:31:33,2019,,,,,,,,,,,,
257,59,Login,2019-08-29 20:10:11,2019,,,,,,,,,,,,
258,59,Login,2019-08-29 20:10:46,2019,,,,,,,,,,,,
260,64,Login,2019-08-29 22:27:22,2019,,,,,,,,,,,,
261,64,Login,2019-08-29 22:28:01,2019,,,,,,,,,,,,
262,33,Login,2019-08-30 06:37:35,2019,,,,,,,,,,,,
274,47,Login,2019-08-30 09:46:27,2019,,,,,,,,,,,,
281,67,Login,2019-08-30 10:40:15,2019,,,,,,,,,,,,
282,45,Login,2019-08-30 11:23:12,2019,,,,,,,,,,,,
284,45,Login,2019-08-30 11:51:59,2019,,,,,,,,,,,,
285,46,Login,2019-08-30 12:22:41,2019,,,,,,,,,,,,
286,40,Login,2019-08-30 12:42:41,2019,,,,,,,,,,,,
287,45,Login,2019-08-30 13:03:01,2019,,,,,,,,,,,,
289,69,Insert User,2019-08-30 15:49:11,2019,,,,,,,,,,,,
290,69,Login,2019-08-30 14:49:31,2019,,,,,,,,,,,,
291,69,Login,2019-08-30 15:09:58,2019,,,,,,,,,,,,
292,66,Login,2019-08-30 16:58:18,2019,,,,,,,,,,,,
293,66,Login,2019-08-30 17:16:52,2019,,,,,,,,,,,,
296,71,Insert User,2019-08-30 18:32:10,2019,,,,,,,,,,,,
297,71,Login,2019-08-30 17:32:23,2019,,,,,,,,,,,,
298,71,Login,2019-08-30 17:33:33,2019,,,,,,,,,,,,
299,71,Login,2019-08-30 17:52:06,2019,,,,,,,,,,,,
300,59,Login,2019-08-30 18:18:47,2019,,,,,,,,,,,,
301,59,Login,2019-08-30 18:18:55,2019,,,,,,,,,,,,
302,71,Insert Learning Objective,2019-08-30 19:34:54,2019,92,,Cardiac Anatomy and Physiology,DSK1,Remember,Factual,I am curious about EKGs and whether the heart's electronic signature could be used for identity management.,,,,,
303,71,Insert Deliverable,2019-08-30 19:36:05,2019,92,57,,,,,,Cardiac Anatomy and Physiology Overview,documented general assistance to others in the class,Not Started,Q1,
304,69,Login,2019-08-30 21:01:08,2019,,,,,,,,,,,,
305,69,Login,2019-08-30 21:04:56,2019,,,,,,,,,,,,
313,71,Login,2019-08-31 07:32:04,2019,,,,,,,,,,,,
314,40,Login,2019-08-31 10:29:11,2019,,,,,,,,,,,,
315,40,Login,2019-08-31 10:29:24,2019,,,,,,,,,,,,
318,71,Login,2019-09-01 01:53:27,2019,,,,,,,,,,,,
320,45,Login,2019-09-01 21:56:50,2019,,,,,,,,,,,,
324,47,Login,2019-09-02 00:28:57,2019,,,,,,,,,,,,
327,67,Login,2019-09-02 13:25:36,2019,,,,,,,,,,,,
328,50,Login,2019-09-02 13:34:31,2019,,,,,,,,,,,,
329,40,Login,2019-09-02 13:47:50,2019,,,,,,,,,,,,
330,40,Login,2019-09-02 13:48:21,2019,,,,,,,,,,,,
331,75,Insert User,2019-09-02 14:57:30,2019,,,,,,,,,,,,
332,75,Login,2019-09-02 13:57:46,2019,,,,,,,,,,,,
333,40,Login,2019-09-02 14:04:55,2019,,,,,,,,,,,,
334,54,Login,2019-09-02 14:45:49,2019,,,,,,,,,,,,
338,52,Login,2019-09-02 20:04:16,2019,,,,,,,,,,,,
340,77,Insert User,2019-09-02 23:18:59,2019,,,,,,,,,,,,
341,77,Login,2019-09-02 22:19:15,2019,,,,,,,,,,,,
342,78,Insert User,2019-09-03 00:46:09,2019,,,,,,,,,,,,
343,78,Login,2019-09-02 23:46:19,2019,,,,,,,,,,,,
344,56,Login,2019-09-03 07:45:31,2019,,,,,,,,,,,,
345,56,Login,2019-09-03 07:47:37,2019,,,,,,,,,,,,
346,58,Login,2019-09-03 09:06:26,2019,,,,,,,,,,,,
348,40,Login,2019-09-03 09:30:16,2019,,,,,,,,,,,,
357,71,Login,2019-09-03 12:23:51,2019,,,,,,,,,,,,
358,51,Login,2019-09-03 12:26:27,2019,,,,,,,,,,,,
359,51,Login,2019-09-03 12:26:49,2019,,,,,,,,,,,,
360,52,Login,2019-09-03 12:30:52,2019,,,,,,,,,,,,
361,43,Login,2019-09-03 12:30:58,2019,,,,,,,,,,,,
362,43,Login,2019-09-03 12:31:19,2019,,,,,,,,,,,,
363,40,Login,2019-09-03 12:32:44,2019,,,,,,,,,,,,
364,42,Login,2019-09-03 12:33:11,2019,,,,,,,,,,,,
367,56,Login,2019-09-03 12:36:17,2019,,,,,,,,,,,,
368,40,Login,2019-09-03 12:37:12,2019,,,,,,,,,,,,
369,54,Login,2019-09-03 12:38:31,2019,,,,,,,,,,,,
370,47,Login,2019-09-03 12:39:00,2019,,,,,,,,,,,,
374,56,Login,2019-09-03 12:46:56,2019,,,,,,,,,,,,
379,66,Login,2019-09-03 13:37:59,2019,,,,,,,,,,,,
389,43,Login,2019-09-03 15:31:52,2019,,,,,,,,,,,,
391,40,Login,2019-09-03 19:34:34,2019,,,,,,,,,,,,
392,59,Login,2019-09-03 21:13:12,2019,,,,,,,,,,,,
394,71,Login,2019-09-04 09:07:19,2019,,,,,,,,,,,,
395,67,Login,2019-09-04 09:41:46,2019,,,,,,,,,,,,
396,43,Login,2019-09-04 10:38:31,2019,,,,,,,,,,,,
397,56,Login,2019-09-04 12:16:20,2019,,,,,,,,,,,,
398,56,Login,2019-09-04 12:16:31,2019,,,,,,,,,,,,
407,40,Login,2019-09-04 13:45:28,2019,,,,,,,,,,,,
408,40,Login,2019-09-04 13:45:33,2019,,,,,,,,,,,,
412,52,Login,2019-09-04 17:15:50,2019,,,,,,,,,,,,
413,59,Login,2019-09-04 18:50:52,2019,,,,,,,,,,,,
416,78,Login,2019-09-04 20:55:15,2019,,,,,,,,,,,,
417,54,Login,2019-09-04 21:50:48,2019,,,,,,,,,,,,
421,47,Login,2019-09-05 00:55:07,2019,,,,,,,,,,,,
422,47,Login,2019-09-05 00:55:22,2019,,,,,,,,,,,,
423,58,Login,2019-09-05 06:53:50,2019,,,,,,,,,,,,
424,58,Login,2019-09-05 06:54:52,2019,,,,,,,,,,,,
425,56,Login,2019-09-05 08:14:14,2019,,,,,,,,,,,,
427,45,Login,2019-09-05 09:24:53,2019,,,,,,,,,,,,
428,45,Login,2019-09-05 09:25:04,2019,,,,,,,,,,,,
429,71,Login,2019-09-05 09:39:01,2019,,,,,,,,,,,,
430,71,Insert Deliverable,2019-09-05 10:50:00,2019,92,62,,,,,,Project Plan,Awards,Not Started,Q2,
431,77,Login,2019-09-05 09:52:31,2019,,,,,,,,,,,,
432,71,Insert Learning Objective,2019-09-05 10:53:06,2019,97,,Project Plan,ES4,Analyze,Procedural,Discuss functional requirements,,,,,
433,71,Insert Deliverable,2019-09-05 10:53:40,2019,97,63,,,,,,Project Plan Draft 1,Business pitches,In progress,Q2,
434,78,Login,2019-09-05 10:18:45,2019,,,,,,,,,,,,
435,77,Logout,2019-09-05 10:32:14,2019,,,,,,,,,,,,
436,58,Login,2019-09-05 11:43:29,2019,,,,,,,,,,,,
437,56,Login,2019-09-05 11:59:47,2019,,,,,,,,,,,,
438,54,Login,2019-09-05 12:27:08,2019,,,,,,,,,,,,
442,54,Login,2019-09-05 12:32:20,2019,,,,,,,,,,,,
443,40,Login,2019-09-05 12:51:22,2019,,,,,,,,,,,,
444,40,Login,2019-09-05 12:51:30,2019,,,,,,,,,,,,
445,47,Login,2019-09-05 13:30:12,2019,,,,,,,,,,,,
448,42,Login,2019-09-05 13:31:03,2019,,,,,,,,,,,,
449,62,Login,2019-09-05 13:31:22,2019,,,,,,,,,,,,
