lID,uID,loID,time,command
133,33,0,2019-08-29 14:10:09,"INSERT INTO users (fullname, studentID, username, password, type, university, major) VALUES Joshua Grosz,1116088,joshua.grosz,$2y$10$pZj.1nQNNRjFZFLn9EJGLeUorBU5IlimiOS5IJFva2Ijt82kWVY0q,student,NDSU,Mechanical Engineering"
136,33,0,2019-08-29 13:10:24,Login by uID=33
137,35,0,2019-08-29 14:10:33,"INSERT INTO users (fullname, studentID, username, password, type, university, major) VALUES Steven Henshaw,1259285,shenshaw,$2y$10$PrBR7qCps6EJzRSvIUlumOy3DNbX8fOCH0Siw1N2Bx7Y6cK5cRZsG,student,UND,Biomedical Engineering"
139,37,0,2019-08-29 14:10:37,"INSERT INTO users (fullname, studentID, username, password, type, university, major) VALUES Evan Gjesvold,1044538,evangjes,$2y$10$eL1dQKin5ZWAaTIZpLaWjuA3pm3QzS4yjltAy9SV1AQLpP7B5iwe.,student,NDSU,Electrical Engineering"
141,35,0,2019-08-29 13:10:41,Login by uID=35
144,37,0,2019-08-29 13:10:47,Login by uID=37
146,40,0,2019-08-29 14:10:57,"INSERT INTO users (fullname, studentID, username, password, type, university, major) VALUES srilakshmi gundlakunta,1300508,s.gundlakunta,$2y$10$rBZQLNeeOmmnMFP/aXEV9.Id6Qof2KmkBY8uSjEzGcw.j3.LxZfkC,student,NDSU,Biomedical engineering "
149,42,0,2019-08-29 14:11:01,"INSERT INTO users (fullname, studentID, username, password, type, university, major) VALUES Michael Straus,0989696,MichaelStraus,$2y$10$ZVDpvBHXNs8dt01Ndnpqk.r97L4sOTI71j8P7JZTQxKLIyaIX/Ex2,student,NDSU,Mechanical Engineering"
150,43,0,2019-08-29 14:11:02,"INSERT INTO users (fullname, studentID, username, password, type, university, major) VALUES Broderick Nelson,1128307,Broderick,$2y$10$O6f2BJZgZzp/TatKpF9TiONVkOBelWO3qo2lQ/HxDmR6Ej/akV7wm,student,NDSU,Electrical Engineering"
152,40,0,2019-08-29 13:11:09,Login by uID=40
154,43,0,2019-08-29 13:11:10,Login by uID=43
155,45,0,2019-08-29 14:11:12,"INSERT INTO users (fullname, studentID, username, password, type, university, major) VALUES William Jahner,1070377,WilliamJahner,$2y$10$2mNvhnLXPGmOkspoE5bxwuE/pR.Q.Gm1aETgBWSmkB.VG8zGcQX7m,student,NDSU,Electrical Engineering"
157,42,0,2019-08-29 13:11:14,Login by uID=42
158,46,0,2019-08-29 14:11:15,"INSERT INTO users (fullname, studentID, username, password, type, university, major) VALUES Mitchell Olson,1126592,MitchO,$2y$10$jUg7ep3pE2CztVhAKfwGmu4byF8/G5f7z3zjIhjV2T2ZxP.pEjXzm,student,NDSU,Mechanical engineering"
159,47,0,2019-08-29 14:11:16,"INSERT INTO users (fullname, studentID, username, password, type, university, major) VALUES Joshua Hewett,1033216,Joshua.hewett,$2y$10$xtLYigEG5Nb76amOmzDKVezsDIGMOntqn9ITkXGZ2sIdricI8WtsW,student,NDSU,Computer Engineering"
162,45,0,2019-08-29 13:11:24,Login by uID=45
163,47,0,2019-08-29 13:11:26,Login by uID=47
164,46,0,2019-08-29 13:11:28,Login by uID=46
167,50,0,2019-08-29 14:11:35,"INSERT INTO users (fullname, studentID, username, password, type, university, major) VALUES Obinna Henry Ama,1280238,obinna.ama,$2y$10$n2EVFvFiX0qcxb9pO2Jvm.alq9JPL67ix1T4Z3osyuJEHGb/RERQG,student,NDSU,Biomedical Engineering PhD"
168,51,0,2019-08-29 14:11:35,"INSERT INTO users (fullname, studentID, username, password, type, university, major) VALUES Rachel Jones,1120246,Rachel.l.jones,$2y$10$eE7nMd82.nmtVedB913Cq.i5ZT7JNCSz.kG8R1WGyfsf2UNC6tXZu,student,NDSU,Electrical Engineering"
169,52,0,2019-08-29 14:11:40,"INSERT INTO users (fullname, studentID, username, password, type, university, major) VALUES Kayla Muehlhauser,1034207,Kayla Muehlhauser,$2y$10$x2iEg6vbfTndI6A4jgr17eBY8PBSwO3CHce4TGYpfwmDgxvRFEBwC,student,NDSU,Mechanical Engineering"
171,54,0,2019-08-29 14:11:45,"INSERT INTO users (fullname, studentID, username, password, type, university, major) VALUES Davina Kasperski,1025531,davina2167,$2y$10$xaYZbIpKzyiRr9rOnqTZqem8oz/xcqpKq.kMTLMXOKn3rFtZewJiq,student,NDSU,Computer Engineering"
172,50,0,2019-08-29 13:11:46,Login by uID=50
175,52,0,2019-08-29 13:11:52,Login by uID=52
176,54,0,2019-08-29 13:11:56,Login by uID=54
177,56,0,2019-08-29 14:11:59,"INSERT INTO users (fullname, studentID, username, password, type, university, major) VALUES Derek Haring,1104326,Derek.Haring,$2y$10$zB7DeDHXT6COgW.dcChZW.gGjWWunLvgNQS6592SCMmIFw8utqzSC,student,NDSU,Mechanical Engineering "
179,51,0,2019-08-29 13:12:03,Login by uID=51
181,58,0,2019-08-29 14:12:24,"INSERT INTO users (fullname, studentID, username, password, type, university, major) VALUES Vidura Jayasooriya ,1130270,vidura,$2y$10$AysjMpbbVskBoIIl9CitVuVLnhhEhWDqqfQrPXLLQDGNrmjCydL.q,student,NDSU,ECE"
182,56,0,2019-08-29 13:12:25,Login by uID=56
183,33,0,2019-08-29 13:12:30,Login by uID=33
184,59,0,2019-08-29 14:12:31,"INSERT INTO users (fullname, studentID, username, password, type, university, major) VALUES Nathan Ruprecht,1313590,NathanRuprecht,$2y$10$AlWZsHSkxC6Ox7VfUv.STuNGN78sPQZEuUnakH4FBumwwJXgGpyaa,student,UND,EE"
186,58,0,2019-08-29 13:12:35,Login by uID=58
188,59,0,2019-08-29 13:12:41,Login by uID=59
191,50,0,2019-08-29 13:13:00,Login by uID=50
193,56,0,2019-08-29 13:13:05,Login by uID=56
195,62,0,2019-08-29 14:13:37,"INSERT INTO users (fullname, studentID, username, password, type, university, major) VALUES Sam Perrin,1063457,samuel.perrin,$2y$10$YTNwGAW1IbDp26E80ZdH.eQl7zjYxauCXSS086C4Kn9GYBD1t71vu,student,NDSU,Computer Engineering "
196,59,0,2019-08-29 13:13:38,Login by uID=59
197,62,0,2019-08-29 13:13:57,Login by uID=62
198,54,0,2019-08-29 13:14:19,Login by uID=54
202,40,0,2019-08-29 13:14:48,Login by uID=40
203,64,0,2019-08-29 14:15:17,"INSERT INTO users (fullname, studentID, username, password, type, university, major) VALUES Colin Bond,1191606,Colin.bond,$2y$10$GY/JmrJOzErivcwxh.QL4uuSiXuXUznDZzl6pzxKhAIRHETNM2MDS,student,NDSU,PhD HNES"
204,64,0,2019-08-29 13:15:26,Login by uID=64
206,66,0,2019-08-29 14:16:06,"INSERT INTO users (fullname, studentID, username, password, type, university, major) VALUES Pranjal misal,1110905,pranjal.misal,$2y$10$7rQTQrn96dPUrgd22Fqgr.EJwWROMeHs39aYYI5aqJrwOZ98u7rMK,student,NDSU,Computer engineering"
207,67,0,2019-08-29 14:16:07,"INSERT INTO users (fullname, studentID, username, password, type, university, major) VALUES Kalleigh Meester,0979752,Kalleigh.meester,$2y$10$EBy83P2wNlThDri/BJc4pu650NluXIeLunrGKgjX1/syb7w/lWUyC,student,NDSU,Biomedical Engineering"
208,68,0,2019-08-29 14:16:09,"INSERT INTO users (fullname, studentID, username, password, type, university, major) VALUES Joseph Allen Jr,0653140,josephallen,$2y$10$BglgmBan5QPoduUtwcUg0ub.Y0DhGUKx2j67iwrdui.nKWiGdA8O.,student,UND,Biomedical Engineering"
210,67,0,2019-08-29 13:16:18,Login by uID=67
211,68,0,2019-08-29 13:16:19,Login by uID=68
212,66,0,2019-08-29 13:16:20,Login by uID=66
214,43,0,2019-08-29 13:16:46,Login by uID=43
215,45,0,2019-08-29 13:16:51,Login by uID=45
217,51,0,2019-08-29 13:16:54,Login by uID=51
220,46,0,2019-08-29 13:16:55,Login by uID=46
222,37,0,2019-08-29 13:17:03,Login by uID=37
228,47,0,2019-08-29 13:18:00,Login by uID=47
229,62,0,2019-08-29 13:18:39,Login by uID=62
230,58,0,2019-08-29 13:18:59,Login by uID=58
231,67,0,2019-08-29 13:20:10,Login by uID=67
234,46,0,2019-08-29 13:22:54,Login by uID=46
235,35,0,2019-08-29 13:23:23,Login by uID=35
237,42,0,2019-08-29 13:23:23,Login by uID=42
239,64,0,2019-08-29 13:24:08,Login by uID=64
240,46,0,2019-08-29 13:24:30,Login by uID=46
241,68,0,2019-08-29 13:28:32,Login by uID=68
242,43,0,2019-08-29 14:06:50,Login by uID=43
245,40,0,2019-08-29 14:29:17,Login by uID=40
246,40,0,2019-08-29 14:30:58,Login by uID=40
251,40,0,2019-08-29 14:59:14,Logout by uID=40
252,33,0,2019-08-29 16:44:02,Login by uID=33
253,51,0,2019-08-29 17:21:38,Login by uID=51
254,51,0,2019-08-29 17:31:33,Login by uID=51
257,59,0,2019-08-29 20:10:11,Login by uID=59
258,59,0,2019-08-29 20:10:46,Login by uID=59
260,64,0,2019-08-29 22:27:22,Login by uID=64
261,64,0,2019-08-29 22:28:01,Login by uID=64
262,33,0,2019-08-30 06:37:35,Login by uID=33
274,47,0,2019-08-30 09:46:27,Login by uID=47
281,67,0,2019-08-30 10:40:15,Login by uID=67
282,45,0,2019-08-30 11:23:12,Login by uID=45
284,45,0,2019-08-30 11:51:59,Login by uID=45
285,46,0,2019-08-30 12:22:41,Login by uID=46
286,40,0,2019-08-30 12:42:41,Login by uID=40
287,45,0,2019-08-30 13:03:01,Login by uID=45
289,69,0,2019-08-30 15:49:11,"INSERT INTO users (fullname, studentID, username, password, type, university, major) VALUES John Chauvin,1215384,john.chauvin,$2y$10$x2eQMG7c6iNFGYt8v.MOu.0zxmA0IoWNGvGm/NxpHtbNiKeeIvmUO,student,UND,Electrical Engineering"
290,69,0,2019-08-30 14:49:31,Login by uID=69
291,69,0,2019-08-30 15:09:58,Login by uID=69
292,66,0,2019-08-30 16:58:18,Login by uID=66
293,66,0,2019-08-30 17:16:52,Login by uID=66
296,71,0,2019-08-30 18:32:10,"INSERT INTO users (fullname, studentID, username, password, type, university, major) VALUES Ty Demarest,1301591,tademarest,$2y$10$7.xvlswIYmomADnWQqnwPuGgOcobmIGSVVA/AYL7.ZKEZbVeA3Jaq,student,UND,Biomedical Engineering"
297,71,0,2019-08-30 17:32:23,Login by uID=71
298,71,0,2019-08-30 17:33:33,Login by uID=71
299,71,0,2019-08-30 17:52:06,Login by uID=71
300,59,0,2019-08-30 18:18:47,Login by uID=59
301,59,0,2019-08-30 18:18:55,Login by uID=59
302,71,92,2019-08-30 19:34:54,"INSERT INTO LearningObjectives (uID, Title, Code, Blooms1, Blooms2, Notes, Description) VALUES 71,Cardiac Anatomy and Physiology,DSK1,Remember,Factual,I am curious about EKGs and whether the heart's electronic signature could be used for identity management.,Remember the anatomical structure of the heart and be able to identify cardiac anatomy. Understand, broadly, the heart's physical movements and electromagnetic signature."
303,71,92,2019-08-30 19:36:05,"INSERT INTO Deliverables (loID, Title, Type, Completion, ExpectedCompletion) VALUES92,Cardiac Anatomy and Physiology Overview,documented general assistance to others in the class,Not Started,Q1 WHERE dID=57"
304,69,0,2019-08-30 21:01:08,Login by uID=69
305,69,0,2019-08-30 21:04:56,Login by uID=69
313,71,0,2019-08-31 07:32:04,Login by uID=71
314,40,0,2019-08-31 10:29:11,Login by uID=40
315,40,0,2019-08-31 10:29:24,Login by uID=40
