User Number,Date Time,Year,Token Number,Text 1,Text 2,Text 3,Text 4,Text Concat
71,2019-08-30 19:36:05,2019,57,Cardiac Anatomy and Physiology,I am curious about EKGs and whether the heart's electronic signature could be used for identity management.,Cardiac Anatomy and Physiology Overview,,Cardiac Anatomy and Physiology I am curious about EKGs and whether the heart's electronic signature could be used for identity management. Cardiac Anatomy and Physiology Overview
71,2019-09-05 10:50:00,2019,62,Cardiac Anatomy and Physiology,I am curious about EKGs and whether the heart's electronic signature could be used for identity management.,Project Plan,,Cardiac Anatomy and Physiology I am curious about EKGs and whether the heart's electronic signature could be used for identity management. Project Plan
71,2019-09-05 10:53:40,2019,63,Project Plan,Discuss functional requirements,Project Plan Draft 1,,Project Plan Discuss functional requirements Project Plan Draft 1
69,2019-09-11 09:20:52,2019,67,Cardiovascular Engineering,,Cardiovascular Engineering,,Cardiovascular Engineering  Cardiovascular Engineering
69,2019-09-11 09:25:53,2019,68,Apply signal processing expertise,,Python environment created with libraries identified,,Apply signal processing expertise  Python environment created with libraries identified
69,2019-09-11 09:26:29,2019,69,Apply signal processing expertise,,Pre-processing functions implemented,,Apply signal processing expertise  Pre-processing functions implemented
69,2019-09-11 09:29:35,2019,70,Apply software engineering expertise,,Create Github repository for project,,Apply software engineering expertise  Create Github repository for project
56,2019-09-11 20:31:56,2019,80,Narrow Topic Ideas,Narrow Topics to use for the scope of this class for our group to help specify.,Narrow Research Topic to Inform Class,,Narrow Topic Ideas Narrow Topics to use for the scope of this class for our group to help specify. Narrow Research Topic to Inform Class
52,2019-09-11 23:23:17,2019,84,Powerpoint,,Powerpoint,,Powerpoint  Powerpoint
52,2019-09-11 23:25:10,2019,85,Research Paper,,Research Paper,,Research Paper  Research Paper
52,2019-09-11 23:27:46,2019,86,Public Speaking,,Public Speaking,,Public Speaking  Public Speaking
56,2019-09-12 09:17:08,2019,87,Understand the Cardiovascular System,,Understand the Cardiovascular System,,Understand the Cardiovascular System  Understand the Cardiovascular System
45,2019-09-12 09:46:29,2019,88,1st Draft of ECG Schematic,,1st Draft of ECG Schematic,,1st Draft of ECG Schematic  1st Draft of ECG Schematic
45,2019-09-12 09:55:39,2019,89,Design ECG Front-End Schematic,,Design ECG Front-End Schematic,,Design ECG Front-End Schematic  Design ECG Front-End Schematic
45,2019-09-12 10:11:34,2019,90,PCB Layout,,PCB Layout,,PCB Layout  PCB Layout
45,2019-09-12 10:22:12,2019,91,Develop ECG Biometric Product (Team),,Develop ECG Biometric Product (Team),,Develop ECG Biometric Product (Team)  Develop ECG Biometric Product (Team)
45,2019-09-12 10:34:39,2019,92,Long-Distance Communication & Collaboration,,Long-Distance Communication & Collaboration,,Long-Distance Communication & Collaboration  Long-Distance Communication & Collaboration
40,2019-09-12 11:03:35,2019,93,Team project,Learning what parameters are needed for our project  search for  What kind of work is already done and what can we add to improve it.,Team project,,Team project Learning what parameters are needed for our project  search for  What kind of work is already done and what can we add to improve it. Team project
40,2019-09-12 11:04:46,2019,94,My role,,My role,,My role  My role
40,2019-09-12 11:08:01,2019,96,What should i learn from class,,What should i learn from class,,What should i learn from class  What should i learn from class
40,2019-09-12 11:08:47,2019,97,Present the abstract at symposium,,Present the abstract at symposium,,Present the abstract at symposium  Present the abstract at symposium
58,2019-09-12 11:21:17,2019,99,Submitting an Abstract to NDSU BME symposium,,Conference abstract,,Submitting an Abstract to NDSU BME symposium  Conference abstract
67,2019-09-12 11:25:51,2019,100,BME Symposium,Gain an understanding of how we can contribute in the field and present at the BME symposium to look for recommendations,BME Symposium,,BME Symposium Gain an understanding of how we can contribute in the field and present at the BME symposium to look for recommendations BME Symposium
58,2019-09-12 11:27:11,2019,101,Literature search,,Report,,Literature search  Report
42,2019-09-12 14:23:03,2019,102,Demonstrate Uptake of Classroom Material,,Answer 3 student questions on Slack with their confirmation that it helped them learn.,,Demonstrate Uptake of Classroom Material  Answer 3 student questions on Slack with their confirmation that it helped them learn.
52,2019-09-12 14:58:10,2019,104,Attend tissue engineering presentation,Attended a presentation about tissue engineering. The presenter was a grad student who researches tissue engineering.,Attend tissue engineering presentation,,Attend tissue engineering presentation Attended a presentation about tissue engineering. The presenter was a grad student who researches tissue engineering. Attend tissue engineering presentation
54,2019-09-14 16:08:42,2019,112,Genetics Research,,Initial Genetic Research,,Genetics Research  Initial Genetic Research
54,2019-09-14 16:09:08,2019,111,Week Powerpoint,,First Powerpoint,,Week Powerpoint  First Powerpoint
54,2019-09-14 16:11:04,2019,113,Secretary / Floater / Minutes Taker,,Meeting Minutes 9/14,,Secretary / Floater / Minutes Taker  Meeting Minutes 9/14
54,2019-09-14 16:11:55,2019,114,Secretary / Floater / Minutes Taker,,Meeting Minutes 2,,Secretary / Floater / Minutes Taker  Meeting Minutes 2
54,2019-09-14 16:12:06,2019,113,Secretary / Floater / Minutes Taker,,Meeting Minutes 1,,Secretary / Floater / Minutes Taker  Meeting Minutes 1
33,2019-09-16 09:51:19,2019,119,Presentation Skills,,1st Presentation,,Presentation Skills  1st Presentation
33,2019-09-16 09:51:42,2019,120,Group Distribution and Communication,,Establish Meeting time,,Group Distribution and Communication  Establish Meeting time
33,2019-09-16 10:07:51,2019,121,Present Completed Learning Tool Paper to Conference,,Presentation with EMBS,,Present Completed Learning Tool Paper to Conference  Presentation with EMBS
33,2019-09-16 10:08:21,2019,122,Present Completed Learning Tool Paper to Conference,,Conference Presentation,,Present Completed Learning Tool Paper to Conference  Conference Presentation
